iter	Passed	Remaining
0	1	100
1	1	93
2	2	88
3	3	81
4	4	80
5	5	79
6	6	79
7	6	77
8	7	75
9	8	74
10	9	72
11	9	71
12	10	70
13	11	69
14	12	69
15	13	68
16	13	67
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	58
28	23	57
29	24	56
30	25	56
31	26	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	33	46
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	40	39
51	41	38
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	60	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
